Exit,Highway,County,Total_Accidents,Avg_Latitude,Avg_Longitude,County_old,Predicted_Accidents,Ratio
14,57,2,487,34.0075249076,-117.83430386,8,514.2797,0.946955518563
20,57,2,258,34.0573466667,-117.800063062,8,249.4201,1.03439939283
24B,57,2,395,34.1213552152,-117.820530456,8,317.5675,1.24383005188
172,58,11,46,34.9602021739,-117.959894348,17,34.5993,1.32950666632
116,58,11,61,35.3371968852,-118.942804426,17,70.5739,0.864342200162
117,58,11,50,35.3449066,-118.868658,17,57.9723,0.862480874487
159,58,11,16,35.110259375,-118.24484,17,28.0104,0.571216405335
119,58,11,38,35.3507410526,-118.864206842,17,49.4565,0.768351986089
151,58,11,116,35.1135430172,-118.380946724,17,81.3274,1.4263335604
188,58,11,14,34.9427892857,-117.824279286,17,19.0689,0.734179737688
112,58,11,261,35.3492582375,-118.989210996,17,197.9618,1.31843618314
149,58,11,17,35.1353617647,-118.430592353,17,37.8742,0.448854365241
113,58,11,169,35.3522415385,-119.008960651,17,186.1932,0.907659355981
156,58,11,29,35.131147931,-118.305904483,17,39.3773,0.736464917605
148,58,11,22,35.0908122727,-118.448639091,17,34.4832,0.637991833705
142,58,11,129,35.169036124,-118.488722016,17,93.5176,1.37941948895
139,58,11,61,35.2321911475,-118.589299508,17,71.7422,0.850266649197
115,58,11,45,35.3647002222,-118.959695111,17,60.9304,0.738547588724
196,58,11,17,35.0095329412,-117.657774118,17,12.942,1.31355277391
186,58,11,23,35.0259030435,-117.819673913,17,18.4128,1.24913103928
110A,58,11,225,35.3384682222,-119.019168756,17,215.3937,1.04459879746
121,58,11,16,35.335828125,-118.828003125,17,36.6775,0.436234748824
111,58,11,241,35.3535029461,-119.019593651,17,216.6745,1.11226747956
194,58,11,3,35.0060533333,-117.737546667,17,4.9918,0.600985616411
114,58,11,65,35.3499096923,-118.984941231,17,120.3654,0.540022298767
195,58,11,5,35.006938,-117.716154,17,5.4878,0.911111920988
193,58,11,7,35.0055342857,-117.738982857,17,6.6172,1.05784924137
167,58,11,3,35.1072633333,-118.177233333,17,17.0774,0.175670769555
36,60,15,61,34.0329732787,-117.597897377,21,68.7797,0.886889590969
34,60,15,77,34.0340096104,-117.639212597,21,137.483,0.560069244925
52B,60,16,165,33.987409697,-117.442574182,22,172.5792,0.956082772431
32,60,15,222,34.0401744595,-117.692484414,21,206.56,1.07474825716
20,60,2,389,34.0133887404,-117.958866375,8,432.3976,0.899634965596
03B,60,2,467,34.0518023555,-118.192776531,8,421.6645,1.10751557221
01C,60,2,481,34.0454211227,-118.209104719,8,409.3754,1.17496068401
26,60,2,1028,34.0189418774,-117.78362677,8,792.4974,1.29716513896
03A,60,2,342,34.0484107018,-118.164679123,8,350.6466,0.975340984341
38,60,15,62,34.0276622581,-117.583542419,21,72.2191,0.858498652019
08,60,2,330,34.0686434848,-118.123771727,8,355.8317,0.927404725324
06B,60,2,567,34.0484677425,-118.124825362,8,478.2459,1.18558256328
21,60,2,806,34.0039591687,-117.853637333,8,668.537,1.20561763971
25,60,2,93,34.0182913978,-117.812810323,8,390.3483,0.238248763988
24A,60,2,1328,33.9994178614,-117.813437605,8,1091.0602,1.21716473573
53A,60,16,16,33.959209375,-117.32215,22,72.326,0.221220584575
43,60,16,198,33.9906000505,-117.490179596,22,201.2298,0.983949693336
28,60,2,477,34.0185155556,-117.749028029,8,533.1984,0.894601334138
24B,60,2,1410,34.0111172979,-117.810679397,8,1074.9775,1.31165536023
02,60,2,272,34.0364879044,-118.168595882,8,284.9081,0.954693811794
23,60,2,320,34.0034362813,-117.835336531,8,470.3268,0.680377983989
39,60,15,93,34.028154086,-117.566922258,21,87.2608,1.06577065532
41,60,16,234,33.9927987179,-117.523043504,22,236.497,0.989441726534
04,60,2,312,34.0456054808,-118.175424776,8,354.4711,0.880184590507
37,60,15,64,34.0485326562,-117.599118125,21,73.7117,0.868247510232
06A,60,2,225,34.0396732889,-118.158390844,8,251.8913,0.893242442276
35,60,15,78,34.0327526923,-117.641757821,21,158.804,0.491171507015
0-,60,16,161,33.9856489441,-117.538988634,22,193.5153,0.831975559555
45,60,16,139,34.0021333813,-117.463517842,22,167.3699,0.830495805996
33,60,15,115,34.0450553043,-117.665485739,21,141.6166,0.812051694505
29B,60,2,425,34.0319047765,-117.736090376,8,402.8285,1.05503955157
01E,60,2,171,34.043072807,-118.197115088,8,260.8211,0.655621803604
53B,60,16,111,33.9235272973,-117.23763018,22,126.5172,0.877351063729
42,60,16,196,33.976595102,-117.503359388,22,204.7518,0.957256541823
23,85,17,9,37.39505,-122.068783333,23,14.9371,0.602526594854
22C,85,17,12,37.3640875,-122.096739167,23,26.1411,0.459047247438
18,85,17,186,37.3314045699,-122.010322849,23,166.8624,1.114690907
11B,85,17,349,37.2674879083,-121.961492006,23,280.756,1.24307227628
20,85,17,133,37.3376708271,-122.041950677,23,116.6017,1.14063517084
22,85,17,31,37.374816129,-122.099686452,23,27.2316,1.13838334876
16,85,17,257,37.320313035,-121.991668482,23,231.7377,1.10901247402
24A,85,17,5,37.409866,-122.075088,23,12.3044,0.406358700953
09,85,17,12,37.0935008333,-121.89706,23,66.7281,0.179834282708
19A,85,17,109,37.3307470642,-122.014588716,23,140.4886,0.775863664383
14,85,17,227,37.2580189868,-121.970653084,23,205.7604,1.10322491597
11A,85,17,87,37.2572314943,-121.94702092,23,112.7794,0.771417475177
10,85,17,38,37.2589231579,-121.935030789,23,105.6062,0.359827358621
19B,85,17,203,37.3444761576,-122.015701379,23,178.0608,1.14006002444
21,91,10,1119,33.8550342538,-118.009031439,16,905.9401,1.23518100148
39,91,10,613,33.8807933442,-117.731999005,16,610.2155,1.00456314204
41,91,10,496,33.8618673387,-117.685807218,16,593.8187,0.835271775712
11,91,2,263,33.8784292776,-118.204488251,8,321.3569,0.818404708285
14B,91,2,266,33.8970882707,-118.141873797,8,291.0768,0.913848166532
33,91,10,279,33.8431430466,-117.901733297,16,486.0164,0.574054702681
14A,91,2,190,33.8671778421,-118.160949947,8,313.9912,0.605112499968
15A,91,2,259,33.872156834,-118.137691622,8,311.9939,0.830144435516
12B,91,2,546,33.8777750366,-118.177326282,8,469.2758,1.16349490001
44,91,16,1355,33.8644482804,-117.640442487,22,1076.6455,1.25853867406
17,91,2,192,33.8780956771,-118.1047525,8,428.7106,0.447854566694
08,91,2,201,33.9033531841,-118.239336269,8,215.2724,0.933700743802
12A,91,2,196,33.8861433163,-118.194649439,8,241.1982,0.812609712676
06,91,2,244,33.829782418,-118.27801709,8,282.5762,0.863483902749
34,91,10,544,33.8315469669,-117.802482537,16,625.7738,0.869323707704
16,91,2,873,33.8814796564,-118.111899107,8,702.8085,1.24215913723
07B,91,2,305,33.8854153443,-118.252888328,8,279.1939,1.09243074437
35,91,10,1065,33.8622810798,-117.791885822,16,926.7696,1.14915292862
19A,91,2,340,33.8661808235,-118.070649529,8,453.5133,0.749702379181
40,91,10,273,33.8743882051,-117.70778315,16,442.9756,0.616286766133
07A,91,2,342,33.8506460819,-118.265710292,8,352.3303,0.970680069242
13,91,2,285,33.8720929123,-118.175042912,8,452.4726,0.629872394483
10A,91,2,621,33.8691716908,-118.21174182,8,497.629,1.24791762538
23A,91,10,601,33.8625953744,-117.991802313,16,648.1404,0.927268227686
23B,91,10,640,33.8736370625,-117.970712156,16,654.3883,0.978012595885
19B,91,2,344,33.8775304942,-118.063287616,8,398.1082,0.864086698038
45,91,16,938,33.8778187846,-117.610171866,22,665.9034,1.4086127207
15B,91,2,322,33.8698754658,-118.13136972,8,350.4818,0.918735295242
17A,91,2,1430,33.8736457622,-118.095008608,8,1067.7653,1.33924561886
10,91,2,177,33.887620452,-118.234815763,8,205.4322,0.861598133107
36,91,10,1128,33.8524016135,-117.757612296,16,964.6783,1.16930172473
19C,91,2,225,33.8835364,-118.059447956,8,325.1913,0.691900429071
18,91,2,675,33.875834163,-118.082449289,8,627.0176,1.07652480568
